obsId obs stdev ODirE ODirN ODirU E N U CODE lon lat
0002 0.0 1.0 0 0 1 -21.97400  304.73372  0.00000 0002  143.22400  44.43400
0003 0.0 1.0 0 0 1 -138.93571  302.17117  0.00000 0003  141.75600  44.39800
0004 0.0 1.0 0 0 1  94.44899  247.81214  0.00000 0004  144.67600  43.91600
0005 0.0 1.0 0 0 1  76.73472  202.25039  0.00000 0005  144.44900  43.50800
0007 0.0 1.0 0 0 1 -82.20286  211.42582  0.00000 0007  142.48200  43.59000
0008 0.0 1.0 0 0 1 -159.99066  242.17242  0.00000 0008  141.51000  43.85400
0009 0.0 1.0 0 0 1  132.74606  154.44361  0.00000 0009  145.13000  43.07000
0010 0.0 1.0 0 0 1  76.03235  141.69306  0.00000 0010  144.43200  42.96300
0012 0.0 1.0 0 0 1 -89.54869  143.85543  0.00000 0012  142.40200  42.98100
0013 0.0 1.0 0 0 1 -200.72385  168.10515  0.00000 0013  141.03100  43.17800
0014 0.0 1.0 0 0 1 -144.26931  145.00789  0.00000 0014  141.73100  42.98300
0015 0.0 1.0 0 0 1 -13.92868  70.09130  0.00000 0015  143.33100  42.32200
0016 0.0 1.0 0 0 1 -93.49358  74.58634  0.00000 0016  142.36500  42.35700
0017 0.0 1.0 0 0 1 -299.57455  90.81207  0.00000 0017  139.85800  42.45100
0018 0.0 1.0 0 0 1 -210.65955  79.01154  0.00000 0018  140.94200  42.37400
0019 0.0 1.0 0 0 1 -28.40996  35.04015  0.00000 0019  143.15700  42.00600
0020 0.0 1.0 0 0 1 -328.92025  59.06473  0.00000 0020  139.52000  42.15400
0021 0.0 1.0 0 0 1 -281.04418  40.75740  0.00000 0021  140.10700  42.00800
0022 0.0 1.0 0 0 1 -228.59145  18.64312  0.00000 0022  140.74800  41.82600
0023 0.0 1.0 0 0 1 -288.92501 -19.22446  0.00000 0023  140.04100  41.46600
0024 0.0 1.0 0 0 1 -191.50315 -40.78884  0.00000 0024  141.21300  41.30100
0026 0.0 1.0 0 0 1 -272.36191 -96.26613  0.00000 0026  140.27300  40.77900
0027 0.0 1.0 0 0 1 -145.78636 -171.57594  0.00000 0027  141.78900  40.13300
0028 0.0 1.0 0 0 1 -134.00225 -234.08578  0.00000 0028  141.94000  39.57200
0029 0.0 1.0 0 0 1 -198.52479 -283.90751  0.00000 0029  141.20400  39.11100
0030 0.0 1.0 0 0 1 -318.09991 -184.66984  0.00000 0030  139.77600  39.96800
0031 0.0 1.0 0 0 1 -297.28448 -248.77922  0.00000 0031  140.04800  39.39900
0032 0.0 1.0 0 0 1 -320.14225 -303.92483  0.00000 0032  139.80900  38.89500
