Tid lon lat E[km] N[km] dep[km] strike dip Area[km2] idP1 idP2 idP3
0  142.08  37.33  -125.756 -483.498  25.073  205.865  16.666  380.069   214 71 63
1  143.17  36.87  -29.245 -535.531  7.833   212.735  3.997   294.323   82 38 36
10  141.89  38.25  -140.539 -380.465  40.832  192.507  20.359  513.850   149 56 103
100  142.62  38.63  -76.966 -338.865  23.446  187.536  13.394  327.881   144 70 111
101  142.25  38.91  -108.182 -308.320  33.600  188.081  18.844  425.604   80 77 54
102  141.84  36.42  -148.741 -583.934  18.531  198.851  15.108  468.545   218 229 237
103  143.14  37.49  -31.854 -466.574  11.200  205.775  6.653   188.974   151 125 135
104  141.21  36.88  -204.137 -531.393  45.167  210.451  22.670  412.401   222 225 228
105  143.71  37.58   18.309 -456.164  7.777   208.004  3.783   173.171   142 32 31
106  142.62  37.12  -78.268 -507.100  13.976  209.359  8.322   195.211   168 146 68
107  143.93  39.33   36.650 -261.894  8.991   183.468  5.741   189.632   99 85 69
108  142.20  36.73  -116.350 -549.895  15.367  211.184  9.679   414.057   233 138 62
109  143.93  40.38   36.317 -145.000  10.861  185.973  6.638   338.532   196 210 211
11  144.14  40.38   54.164 -145.128  9.106   191.883  4.739   346.283   196 211 7
110  142.27  38.08  -107.464 -400.222  28.416  197.680  16.266  457.483   149 101 95
111  142.47  36.84  -91.689 -537.363  13.388  210.538  7.837   261.422   167 138 147
112  141.27  36.56  -199.527 -567.653  37.250  202.137  21.548  635.133   223 204 222
113  143.56  39.92   5.064  -196.244  13.178  186.533  7.968   452.343   130 83 208
114  142.08  36.03  -127.662 -627.134  12.216  193.959  7.975   395.505   216 234 170
115  143.39  38.13  -9.847  -395.109  11.327  188.295  6.079   264.289   133 124 90
116  141.00  36.45  -223.793 -579.097  44.154  204.551  20.483  256.660   223 198 230
117  142.94  38.92  -48.507 -307.632  18.529  194.761  10.407  373.712   121 97 110
118  142.20  39.06  -112.124 -291.783  35.483  183.534  18.264  414.813   77 53 54
119  141.14  37.70  -208.321 -440.221  63.528  197.382  26.404  363.376   175 174 173
12  142.47  36.60  -91.681 -564.185  11.381  215.516  6.308   335.896   202 147 233
120  142.52  40.16  -83.063 -170.042  35.294  195.089  19.063  260.974   190 106 191
121  143.12  37.60  -33.264 -453.447  11.971  203.322  6.462   217.485   151 126 125
122  141.06  35.96  -219.554 -632.702  36.532  194.603  19.309  468.052   231 219 172
123  141.18  36.43  -208.304 -581.851  38.298  203.374  21.372  314.405   204 223 230
124  141.97  39.43  -131.900 -249.858  45.089  192.870  23.273  334.651   186 105 212
125  142.41  36.28  -98.292 -600.149  9.974   198.356  5.184   144.521   203 215 235
126  143.14  40.52  -30.709 -130.152  22.886  192.923  13.640  416.989   194 207 195
127  142.08  35.89  -127.731 -643.031  11.359  209.470  8.944   358.446   236 216 170
128  141.84  36.98  -148.026 -521.957  25.483  207.735  18.095  333.803   96 78 61
129  143.40  40.75  -8.382  -103.946  19.095  194.571  12.536  536.067   207 206 1
13  142.91  38.64  -51.020 -338.499  17.913  186.706  10.474  274.036   118 110 111
130  144.21  40.50   60.279 -131.811  8.771   186.551  4.911   404.524   196 7 5
131  142.64  38.19  -75.643 -388.470  21.261  188.117  12.042  360.565   157 153 95
132  142.53  37.21  -85.786 -496.985  15.861  213.105  9.742   271.463   146 86 68
133  143.01  36.86  -43.664 -535.724  8.871   206.666  5.180   477.775   145 38 82
134  143.03  40.75  -39.316 -104.822  26.626  194.381  16.639  352.441   1 3 195
135  143.50  37.23   0.167  -495.355  7.555   208.505  3.691   185.865   81 34 33
136  141.94  38.84  -135.519 -315.493  43.196  187.921  22.368  337.205   55 54 183
137  142.11  36.58  -124.189 -565.996  14.932  217.235  9.815   383.983   233 62 237
138  141.93  37.73  -138.054 -438.446  34.075  197.390  18.797  458.435   92 74 87
139  141.22  36.02  -205.650 -627.120  32.323  194.786  19.237  355.080   219 199 172
14  141.87  39.63  -140.081 -227.004  51.267  196.362  25.876  328.272   187 12 212
140  142.52  39.73  -83.871 -217.365  31.481  197.745  17.359  384.956   209 188 108
141  142.61  39.30  -76.755 -265.020  26.090  193.352  14.055  278.279   131 75 98
142  143.60  38.71   9.038  -330.597  10.141  192.158  5.307   176.249   160 91 129
143  140.88  35.72  -236.863 -659.105  40.715  188.961  19.062  587.078   231 45 220
144  141.37  38.74  -184.763 -324.921  64.789  190.308  26.922  407.129   182 19 180
145  141.29  37.45  -195.686 -468.785  53.605  198.554  25.611  535.811   59 58 173
146  143.42  37.79  -7.182  -433.474  10.233  200.393  5.330   157.313   140 84 134
147  142.44  37.97  -92.976 -412.186  23.903  192.322  13.048  404.757   119 95 101
148  142.45  38.69  -91.303 -332.213  27.492  190.607  16.248  360.896   144 80 70
149  141.76  37.80  -153.425 -430.483  40.426  198.773  22.125  422.090   87 74 57
15  142.16  36.33  -120.478 -594.423  12.494  198.090  7.093   338.291   234 203 237
150  141.70  39.51  -154.762 -240.303  56.805  192.012  27.187  417.371   14 212 12
151  141.93  36.13  -141.260 -616.059  15.006  201.209  11.077  475.529   234 229 170
152  141.97  39.19  -132.427 -276.643  43.490  185.956  21.986  264.738   185 53 186
153  142.54  36.23  -86.674 -605.321  8.753   199.501  5.748   194.104   215 41 235
154  143.75  38.99   21.451 -299.770  9.785   192.612  5.670   254.626   165 128 137
155  143.73  39.44   19.465 -250.289  10.891  182.481  6.856   189.336   161 69 94
156  143.21  37.27  -25.843 -490.571  9.483   210.713  5.079   196.411   139 81 135
157  144.12  39.06   53.491 -292.203  7.333   187.880  3.914   132.170   76 18 16
158  142.99  37.65  -45.197 -448.287  13.630  203.761  7.871   294.097   156 125 126
159  140.79  37.17  -240.956 -498.856  67.525  209.563  24.311  613.643   226 227 224
16  142.56  36.12  -84.868 -617.463  7.875   214.823  7.107   339.895   41 215 42
160  142.60  38.94  -78.378 -305.513  25.065  190.233  14.286  410.878   144 97 77
161  142.35  39.62  -98.990 -229.738  34.929  196.049  17.744  455.211   188 105 108
162  141.52  39.17  -171.010 -277.584  61.561  188.952  26.935  451.419   14 17 184
163  143.20  39.79  -25.558 -211.219  18.043  187.266  11.457  372.936   130 66 109
164  143.08  39.28  -36.572 -267.176  18.145  195.979  8.794   313.485   132 123 65
165  142.61  38.03  -77.913 -405.596  20.982  195.529  12.146  369.715   157 95 119
166  141.65  35.53  -167.800 -681.777  16.880  193.286  15.919  585.496   201 200 49
167  141.92  37.56  -139.104 -457.015  32.163  203.567  19.539  440.779   92 87 71
168  143.62  38.31   10.100 -375.539  9.606   181.555  4.628   270.190   133 79 67
169  143.28  36.97  -19.252 -523.422  7.713   214.061  3.981   179.967   82 36 35
17  143.59  37.41   8.234  -474.632  7.792   209.873  3.977   219.373   73 33 32
170  143.79  37.93   25.322 -417.273  8.159   196.527  3.555   240.598   141 72 28
171  141.15  37.87  -206.313 -421.340  65.100  193.779  25.889  298.309   174 175 176
172  140.91  35.59  -234.755 -674.115  39.408  182.737  18.776  371.245   220 45 46
173  143.76  40.76   22.213 -103.195  13.636  197.465  8.480   364.008   221 2 206
174  143.20  39.94  -25.829 -194.145  18.611  189.642  11.523  407.888   130 104 66
175  143.55  39.77   3.935  -213.637  13.106  184.110  7.990   391.703   130 127 83
176  144.09  40.14   50.175 -172.165  8.964   192.509  4.662   410.271   211 197 9
177  141.26  36.18  -201.054 -609.390  32.364  194.999  19.228  450.946   172 199 204
178  143.81  38.14   27.095 -394.279  8.275   182.584  3.417   296.589   141 26 79
179  141.78  37.51  -152.082 -463.114  35.755  198.474  21.355  225.668   71 87 213
18  142.80  37.01  -62.086 -518.977  11.318  208.688  6.889   207.111   168 145 116
180  143.37  40.17  -10.843 -169.136  16.702  190.705  10.677  365.320   205 104 208
181  143.92  39.54   35.987 -238.632  9.188   182.555  5.810   212.422   100 94 85
