Pid lon lat E[km] N[km] dep[km]
1  143.95  43.68   36.498  221.553  131.971
10  146.58  41.95   255.086  32.800  6.536 
100  141.53  39.32  -169.958 -261.231  62.246
101  142.13  39.74  -117.155 -215.394  42.670
102  142.39  39.96  -94.543 -191.587  37.190
103  142.31  40.34  -101.344 -148.839  43.570
104  141.84  40.51  -140.402 -129.987  61.766
105  141.39  39.89  -180.733 -197.925  74.670
106  141.36  39.55  -184.037 -235.831  72.361
107  141.86  40.94  -138.398 -81.843  66.173
108  141.38  40.67  -179.537 -110.914  82.724
109  141.47  40.27  -172.403 -155.666  74.547
11  145.95  41.67   203.988  0.695   7.128 
110  142.23  40.72  -107.268 -107.476  49.801
111  142.45  41.12  -87.898 -62.754  46.719
112  141.91  41.43  -132.960 -27.532  70.534
113  143.76  39.81   22.081 -209.282  10.646
114  143.51  38.83   0.711  -317.766  11.237
115  143.43  38.34  -5.779  -371.526  11.058
116  143.29  37.59  -18.872 -454.833  10.464
117  142.75  39.81  -63.916 -208.111  26.665
118  142.79  40.16  -60.404 -169.278  28.332
119  142.90  39.49  -51.792 -244.724  21.756
12  145.37  41.41   156.056 -29.150  6.879 
120  141.00  37.85  -219.778 -423.075  71.616
121  140.63  37.28  -254.070 -485.860  76.043
122  141.46  37.27  -180.850 -489.265  43.666
123  141.19  36.58  -207.072 -564.501  40.396
124  140.20  36.38  -296.032 -584.304  68.790
125  140.12  36.84  -301.365 -533.111  84.668
126  140.26  37.29  -286.782 -483.207  92.316
127  141.01  37.58  -219.584 -453.391  66.653
128  141.58  37.64  -169.129 -448.226  44.457
129  140.53  37.85  -260.944 -422.584  93.114
13  140.18  41.36  -278.007 -31.969  151.582
130  141.56  36.29  -173.912 -597.836  24.329
131  140.65  36.15  -256.371 -610.892  50.966
132  140.40  36.01  -279.463 -625.736  58.278
133  140.30  35.70  -289.166 -660.145  59.112
134  140.05  35.29  -313.479 -704.791  67.258
135  141.26  35.13  -204.337 -725.207  27.289
136  139.81  34.89  -337.421 -748.117  85.944
137  140.33  35.41  -287.809 -692.461  57.288
138  141.35  35.51  -194.659 -683.823  25.445
139  140.05  35.59  -312.677 -671.747  69.030
14  144.73  41.09   103.602 -66.230  7.524 
140  141.81  35.78  -152.507 -654.115  14.099
141  142.21  36.46  -115.673 -580.177  12.322
142  140.94  36.89  -228.085 -529.301  54.649
143  141.30  36.94  -196.268 -524.758  43.350
144  141.16  36.22  -210.374 -605.029  35.935
145  142.73  36.82  -68.670 -540.846  10.739
146  142.47  41.60  -86.117 -9.874   52.013
147  142.92  41.43  -48.563 -29.295  35.590
148  142.94  41.85  -46.142  17.898  40.861
149  143.53  42.53   2.236   93.732  45.787
15  139.99  40.42  -297.734 -135.730  149.544
150  143.59  42.86   7.232   129.532  69.792
151  144.14  42.73   52.232  115.677  46.420
152  144.03  42.36   43.561  74.735  27.619
153  144.52  42.40   83.649  79.230  24.282
154  141.27  38.21  -195.377 -383.749  64.025
155  140.78  38.19  -238.186 -384.866  85.919
156  141.28  38.46  -193.550 -356.803  65.998
157  140.76  37.97  -240.546 -409.339  84.177
158  143.96  43.03   37.485  148.948  75.331
159  144.11  43.25   49.601  173.613  90.792
16  144.36  40.35   72.650 -148.104  7.556 
160  144.47  43.02   79.382  148.310  63.435
161  142.21  35.22  -116.994 -717.582  3.812 
162  141.25  35.88  -202.687 -642.739  29.811
163  141.01  35.39  -226.420 -696.001  36.133
164  141.63  38.88  -161.962 -310.596  54.915
165  141.91  38.81  -137.769 -318.937  43.826
166  142.09  38.64  -123.129 -338.039  37.205
167  141.95  38.43  -135.421 -360.353  40.357
168  141.45  38.64  -178.020 -336.332  60.545
169  141.66  39.12  -158.876 -284.324  54.842
17  144.26  39.77   65.214 -212.766  7.065 
170  141.10  38.97  -208.185 -298.766  79.082
171  141.40  39.07  -181.711 -288.584  66.006
172  141.11  38.68  -207.578 -331.861  75.576
173  140.83  38.60  -232.195 -339.882  87.639
174  142.36  38.69  -99.166 -331.984  29.625
175  141.88  37.84  -142.185 -426.444  36.711
176  140.66  38.40  -247.931 -361.681  93.653
177  140.52  38.11  -260.887 -393.490  97.448
178  140.59  38.71  -253.223 -326.913  100.468
179  140.76  37.72  -241.498 -436.825  80.374
18  139.72  39.45  -325.605 -241.989  153.498
180  140.76  37.51  -242.120 -460.865  75.652
181  141.12  37.34  -211.027 -480.735  58.702
182  141.28  37.76  -195.980 -434.060  58.722
183  141.29  37.51  -195.098 -461.324  54.641
184  141.14  37.12  -209.224 -504.742  53.257
185  140.90  37.17  -230.524 -498.501  63.749
186  140.89  37.37  -231.416 -476.009  68.219
187  141.22  37.98  -200.606 -409.059  63.835
188  140.51  37.58  -263.971 -451.839  88.315
189  140.71  37.03  -248.228 -513.206  67.205
19  144.18  39.12   58.856 -285.351  7.068 
190  140.42  36.68  -275.266 -551.495  66.467
191  140.64  36.84  -254.782 -534.841  63.985
192  140.46  36.27  -273.483 -597.447  57.843
193  140.68  35.94  -254.091 -634.427  48.427
194  140.59  35.74  -263.202 -655.972  49.929
195  140.77  35.54  -247.138 -679.601  43.364
196  141.06  35.61  -221.031 -671.988  34.808
197  140.76  35.35  -249.325 -699.993  43.751
198  140.73  36.59  -248.050 -562.817  54.453
199  140.92  36.04  -232.817 -623.771  41.833
2  142.88  43.59  -50.126  210.828  152.148
20  139.53  38.72  -345.002 -322.810  154.199
200  140.87  36.32  -235.836 -592.926  46.418
201  140.84  35.23  -242.169 -713.375  41.061
202  140.55  35.24  -268.030 -711.808  49.650
203  140.24  34.97  -297.542 -741.030  60.601
204  140.51  35.55  -270.573 -677.363  51.373
205  140.59  35.41  -264.555 -693.401  48.761
206  140.47  36.45  -271.437 -576.893  60.159
207  140.63  36.36  -257.950 -588.273  53.946
208  140.44  35.11  -278.980 -725.541  53.675
209  140.32  35.20  -289.371 -715.410  57.746
21  144.06  38.56   48.881 -347.835  7.060 
22  139.33  37.91  -366.555 -411.174  156.612
23  143.90  37.90   35.367 -420.813  7.544 
24  143.62  37.32   11.041 -484.781  7.263 
25  139.20  37.05  -382.719 -506.004  148.579
26  143.26  36.86  -21.394 -536.136  7.319 
27  142.83  36.43  -60.135 -583.887  7.801 
28  139.07  36.27  -397.805 -592.213  145.030
29  142.47  35.87  -92.570 -645.152  6.827 
3  144.73  43.36   99.984  185.641  84.556
30  139.13  35.66  -395.650 -660.103  133.311
31  140.65  35.03  -259.783 -735.640  46.604
32  140.88  35.78  -236.660 -652.413  40.955
33  142.03  37.46  -130.010 -468.538  27.714
34  142.16  38.87  -116.071 -312.008  36.002
35  142.48  39.62  -87.383 -229.135  31.202
36  143.43  43.17  -5.636   164.752  102.385
37  141.42  41.13  -174.597 -60.296  86.261
38  143.58  42.10   6.304   45.404  27.801
39  143.15  41.00  -29.794 -76.732  25.726
4  141.80  43.12  -138.400  160.504  148.492
40  142.88  42.69  -50.528  111.564  81.030
41  142.97  39.02  -46.095 -296.823  18.325
42  142.76  37.63  -65.683 -450.839  16.195
43  140.75  39.13  -238.096 -280.393  97.358
44  145.17  42.20   138.066  57.837  15.973
45  140.45  36.99  -271.174 -516.988  76.000
46  142.19  42.08  -108.602  43.480  74.099
47  140.32  38.39  -277.468 -361.696  109.980
48  140.93  40.20  -218.469 -162.330  98.931
49  141.74  36.86  -156.681 -534.540  25.919
5  145.15  43.02   134.803  149.013  51.076
50  139.38  35.03  -376.240 -731.481  124.023
51  142.42  37.07  -95.814 -512.524  15.872
52  143.37  40.38  -10.710 -145.062  17.608
53  143.11  38.61  -34.005 -342.438  14.837
54  144.81  42.69   107.032  112.014  35.031
55  143.61  41.49   9.575  -21.756  21.084
56  141.74  35.19  -159.972 -719.662  12.679
57  141.22  41.61  -190.382 -5.979   104.518
58  140.02  35.96  -313.408 -630.808  72.109
59  139.72  36.47  -338.912 -573.060  96.908
6  145.51  42.74   164.196  118.716  29.738
60  140.19  38.90  -287.081 -304.442  122.304
61  140.15  37.84  -294.620 -422.069  111.102
62  140.87  40.91  -221.283 -82.896  109.041
63  140.44  39.60  -262.377 -227.581  117.313
64  139.64  35.64  -349.308 -664.350  89.449
65  143.00  42.28  -40.864  65.154  50.944
66  144.40  41.92   74.941  25.615  16.532
67  139.81  37.22  -327.631 -489.848  113.289
68  143.00  37.22  -44.158 -496.527  10.753
69  143.24  37.93  -22.780 -417.206  12.226
7  141.05  42.68  -201.100  112.654  149.945
70  143.41  39.35  -7.941  -259.675  14.223
71  141.99  42.65  -123.606  107.151  111.375
72  143.79  40.88   24.745 -89.863  13.551
73  139.93  38.36  -312.168 -363.707  129.260
74  142.60  43.04  -73.185  150.543  117.392
75  140.99  39.61  -215.409 -227.674  90.433
76  141.41  42.22  -172.847  60.801  115.018
77  142.72  40.63  -66.215 -117.684  33.729
78  141.89  40.05  -137.364 -180.579  55.216
79  141.75  39.62  -150.048 -228.928  55.645
8  145.99  42.37   204.893  78.471  13.648
80  143.18  39.83  -27.765 -206.139  18.418
81  142.31  37.94  -104.709 -415.130  26.402
82  141.60  38.36  -165.834 -367.899  52.133
83  141.34  38.85  -187.847 -313.046  67.222
84  142.86  38.21  -56.128 -386.358  17.534
85  142.70  38.64  -69.769 -338.332  21.621
86  142.19  39.14  -113.341 -282.421  35.958
87  141.00  38.10  -219.331 -395.728  74.863
88  141.54  37.99  -172.109 -408.698  50.479
89  141.94  38.16  -136.726 -390.890  38.322
9  140.50  42.05  -248.124  44.180  150.530
90  141.77  38.63  -150.221 -338.646  47.813
91  142.32  38.39  -102.645 -366.075  28.919
92  141.90  39.02  -138.194 -295.669  45.084
93  140.98  38.38  -219.783 -364.733  78.447
94  140.87  38.82  -228.686 -315.318  88.426
95  141.18  39.28  -200.450 -265.074  78.182
96  142.49  38.94  -87.216 -304.972  27.260
97  142.54  39.28  -83.087 -267.694  27.279
98  142.16  39.45  -115.516 -248.120  38.424
99  141.86  39.28  -141.257 -266.538  47.499
