%Tid lon lat E[km] N[km] dep[km] strike dip Area[km2] idP1 idP2 idP3
0  141.86  36.18  -147.364 -610.709  16.917  201.582  14.140  1884.923  130 140 141
1  140.06  37.12  -305.259 -502.055  96.758  209.396  32.971  1157.216  125 126 67
10  141.83  38.32  -145.994 -373.047  43.604  191.643  22.619  497.723   82 89 167
100  141.69  40.71  -152.779 -107.581  70.221  193.054  26.285  1072.018  107 108 104
101  141.68  39.85  -156.048 -202.478  61.843  193.739  27.105  1054.189  105 79 78
102  140.49  35.35  -273.465 -699.223  51.900  183.257  20.125  229.671   205 137 202
103  141.28  38.59  -193.049 -341.665  67.373  192.274  26.741  377.651   172 156 168
104  140.90  38.98  -224.989 -298.159  88.289  191.354  29.022  498.460   170 43 94
105  141.45  37.47  -181.692 -466.272  47.588  198.090  26.285  508.716   122 128 183
106  140.21  36.12  -296.301 -613.616  66.392  191.518  23.214  810.871   124 58 132
107  140.40  37.76  -273.178 -432.164  97.510  202.418  29.864  568.914   61 188 129
108  140.75  37.16  -244.274 -499.189  68.999  211.264  24.734  313.816   189 185 121
109  143.38  41.82  -10.088  13.849  29.915  196.253  17.024  1888.880  55 38 148
11  141.54  35.98  -176.369 -631.563  22.747  192.980  16.981  1349.122  140 130 162
110  142.71  39.64  -67.697 -227.323  26.541  192.602  13.911  573.888   117 35 119
111  140.45  37.19  -270.675 -495.351  81.453  208.918  28.544  605.406   121 126 45
112  140.84  37.60  -234.401 -450.360  74.226  203.995  27.149  301.811   179 180 127
113  142.94  36.70  -50.066 -553.623  8.620   214.267  5.366   1042.075  27 26 145
114  141.11  36.05  -215.293 -623.846  35.860  195.276  19.439  525.119   162 144 199
115  140.87  35.33  -239.305 -703.123  40.315  183.607  18.623  176.797   163 197 201
116  142.94  39.71  -47.824 -219.658  22.280  193.959  13.405  692.614   117 119 80
117  140.47  37.38  -268.274 -473.635  85.558  204.758  27.837  614.418   121 188 126
118  145.16  42.55   136.431  96.189  26.914  245.867  17.053  1728.464  54 44 6
119  142.50  40.16  -85.430 -169.901  36.364  196.826  18.668  850.274   118 103 102
12  139.88  38.66  -314.750 -330.319  135.254  192.701  31.296  1738.989  73 60 20
120  145.50  41.76   166.037  9.794   9.993   240.447  6.139   2366.774  44 12 11
121  141.16  37.87  -205.455 -422.065  64.724  193.116  26.669  304.471   187 120 182
122  141.50  36.58  -179.222 -565.625  30.215  198.877  20.861  1430.421  123 130 49
123  142.47  40.82  -87.127 -95.971  43.416  193.839  20.803  1087.796  111 110 77
124  143.37  42.30  -10.775  68.097  41.510  224.659  26.008  1223.471  65 38 149
125  141.13  36.99  -211.192 -519.601  50.419  211.905  24.663  382.772   143 184 142
126  141.84  36.54  -148.755 -570.851  20.857  200.811  13.997  1742.742  49 130 141
127  146.17  42.00   221.322  37.322  9.104   232.568  6.080   1983.741  11 10 8
